tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-806,Toronto,Hard,96,1000,O,20260802,29,233741,,Q,Maya Joint,R,,AUS,20.296,75,956,263857,,,Yuliia Starodubtseva,R,,UKR,26.456,65,1008,4-6 6-1 6-3,3,R128,157,3,5,104,62,33,24,13,14,18,1,5,99,63,34,15,13,7,14
2026-806,Toronto,Hard,96,1000,O,20260802,30,214643,,,Liudmila Samsonova,R,180,RUS,27.723,55,1068,222145,,,Janice Tjen,R,,INA,24.241,36,1312,7-6(9) 7-5,3,R128,140,5,6,90,48,40,15,12,8,11,1,11,93,49,32,19,12,5,9
2026-806,Toronto,Hard,96,1000,O,20260802,31,239436,,WC,Kayla Cross,L,,CAN,21.366,177,449,211107,,,Katie Boulter,R,180,GBR,30.001,72,987,7-6(3) 7-5,3,R128,119,11,6,84,48,37,17,12,4,6,2,12,85,46,32,17,12,1,4
2026-806,Toronto,Hard,96,1000,O,20260802,32,214082,,,Daria Kasatkina,R,170,AUS,29.238,61,1033,216133,,,Xinyu Wang,R,182,CHN,24.849,41,1238,1-6 7-6(5) 7-5,3,R128,143,0,9,107,65,39,17,15,9,17,2,8,96,60,36,17,16,4,11
2026-806,Toronto,Hard,96,1000,O,20260802,33,214544,1,,Aryna Sabalenka,R,182,BLR,28.244,1,8550,220416,,Q,Moyuka Uchijima,R,171,JPN,24.975,111,738,6-3 6-3,3,R64,81,4,6,59,35,26,10,9,3,6,4,2,62,31,20,9,9,5,11
2026-806,Toronto,Hard,96,1000,O,20260802,34,201533,,,Shuai Zhang,R,177,CHN,37.528,62,1020,211533,26,,Jelena Ostapenko,R,177,LAT,29.150,29,1592,6-0 4-0 RET,3,R64,54,1,2,31,21,19,4,6,0,0,0,8,43,14,8,7,5,9,14
2026-806,Toronto,Hard,96,1000,O,20260802,35,221883,,,Talia Gibson,R,,AUS,22.122,74,958,216081,18,,Maja Chwalinska,L,,POL,24.808,22,1975,7-5 6-1,3,R64,100,3,5,66,32,20,18,10,7,10,1,7,59,35,16,9,9,4,10
2026-806,Toronto,Hard,96,1000,O,20260802,36,206420,16,,Ekaterina Alexandrova,R,175,RUS,31.713,19,2301,215785,,,Camila Osorio,R,162,COL,24.611,60,1048,6-3 7-6(4),3,R64,104,2,15,91,49,37,16,10,9,12,1,6,74,49,27,12,11,7,12
2026-806,Toronto,Hard,96,1000,O,20260802,37,202494,9,,Elina Svitolina,R,174,UKR,31.888,9,4459,222601,,,Jessica Bouzas Maneiro,R,,ESP,23.855,63,1014,6-7(5) 7-6(4) 6-4,3,R64,167,3,11,124,62,36,27,17,6,14,1,15,124,64,39,20,17,3,12
2026-806,Toronto,Hard,96,1000,O,20260802,38,215713,24,,Anastasia Potapova,R,175,RUS,25.342,27,1726,211817,,,Elena Gabriela Ruse,R,,ROU,28.736,77,941,6-4 6-2,3,R64,105,0,3,75,45,31,15,9,8,9,3,4,59,26,16,14,9,2,6
2026-806,Toronto,Hard,96,1000,O,20260802,39,223360,,,Nikola Bartunkova,R,,CZE,20.433,42,1231,220704,27,,Clara Tauson,R,182,DEN,23.614,30,1564,6-3 6-4,3,R64,97,8,5,68,32,21,17,10,6,9,3,6,61,39,22,8,9,2,7
2026-806,Toronto,Hard,96,1000,O,20260802,40,216153,8,,Amanda Anisimova,R,180,USA,24.920,10,4353,222290,,Q,Lanlana Tararudee,R,,THA,22.070,79,916,W/O,3,R64,,,,,,,,,,,,,,,,,,,
2026-806,Toronto,Hard,96,1000,O,20260802,41,202468,3,,Jessica Pegula,R,170,USA,32.435,3,6625,211684,,,Magdalena Frech,R,171,POL,28.630,45,1160,3-6 6-3 6-2,3,R64,123,6,6,90,56,40,12,13,3,6,4,2,76,44,25,17,13,2,7
